Periode;Grafik_kurz;Grafik_Titel;Geo_ID;Geo_Einheit;ProzentBasis;Total;Männer;Frauen
2020/21;TAS-Angebot;Zugang zu Tageschulen nach Gemeinde;-1;Titel;NULL;NULL;NULL;NULL
;;;301;Aarberg;;1;;
;;;302;Bargen (BE);;1;;
;;;303;Grossaffoltern;;1;;
;;;304;Kallnach;;1;;
;;;305;Kappelen;;1;;
;;;306;Lyss;;1;;
;;;307;Meikirch;;1;;
;;;309;Radelfingen;;0;;
;;;310;Rapperswil (BE);;1;;
;;;311;Schüpfen;;1;;
;;;312;Seedorf (BE);;1;;
;;;321;Aarwangen;;1;;
;;;322;Auswil;;0;;
;;;323;Bannwil;;0;;
;;;324;Bleienbach;;1;;
;;;325;Busswil bei Melchnau;;1;;
;;;326;Gondiswil;;0;;
;;;329;Langenthal;;1;;
;;;331;Lotzwil;;1;;
;;;332;Madiswil;;1;;
;;;333;Melchnau;;1;;
;;;334;Obersteckholz;;0;;
;;;335;Oeschenbach;;0;;
;;;336;Reisiswil;;0;;
;;;337;Roggwil (BE);;1;;
;;;338;Rohrbach;;0;;
;;;339;Rohrbachgraben;;0;;
;;;340;Rütschelen;;1;;
;;;341;Schwarzhäusern;;0;;
;;;342;Thunstetten;;1;;
;;;344;Ursenbach;;0;;
;;;345;Wynau;;1;;
;;;351;Bern;;1;;
;;;352;Bolligen;;1;;
;;;353;Bremgarten bei Bern;;1;;
;;;354;Kirchlindach;;1;;
;;;355;Köniz;;1;;
;;;356;Muri bei Bern;;1;;
;;;357;Oberbalm;;0;;
;;;358;Stettlen;;1;;
;;;359;Vechigen;;1;;
;;;360;Wohlen bei Bern;;1;;
;;;361;Zollikofen;;1;;
;;;362;Ittigen;;1;;
;;;363;Ostermundigen;;1;;
;;;371;Biel/Bienne;;1;;
;;;372;Evilard;;1;;
;;;381;Arch;;1;;
;;;382;Büetigen;;0;;
;;;383;Büren an der Aare;;1;;
;;;385;Diessbach bei Büren;;1;;
;;;386;Dotzigen;;1;;
;;;387;Lengnau (BE);;1;;
;;;388;Leuzigen;;0;;
;;;389;Meienried;;1;;
;;;390;Meinisberg;;1;;
;;;391;Oberwil bei Büren;;0;;
;;;392;Pieterlen;;1;;
;;;393;Rüti bei Büren;;0;;
;;;394;Wengi;;0;;
;;;401;Aefligen;;1;;
;;;402;Alchenstorf;;1;;
;;;403;Bäriswil;;0;;
;;;404;Burgdorf;;1;;
;;;405;Ersigen;;1;;
;;;406;Hasle bei Burgdorf;;1;;
;;;407;Heimiswil;;0;;
;;;408;Hellsau;;1;;
;;;409;Hindelbank;;1;;
;;;410;Höchstetten;;1;;
;;;411;Kernenried;;1;;
;;;412;Kirchberg (BE);;1;;
;;;413;Koppigen;;1;;
;;;414;Krauchthal;;1;;
;;;415;Lyssach;;1;;
;;;416;Mötschwil;;0;;
;;;418;Oberburg;;1;;
;;;420;Rüdtligen-Alchenflüh;;1;;
;;;421;Rumendingen;;1;;
;;;422;Rüti bei Lyssach;;1;;
;;;423;Willadingen;;1;;
;;;424;Wynigen;;0;;
;;;431;Corgémont;;1;;
;;;432;Cormoret;;1;;
;;;433;Cortébert;;0;;
;;;434;Courtelary;;1;;
;;;435;La Ferrière;;0;;
;;;437;Mont-Tramelan;;1;;
;;;438;Orvin;;1;;
;;;441;Renan (BE);;1;;
;;;442;Romont (BE);;1;;
;;;443;Saint-Imier;;1;;
;;;444;Sonceboz-Sombeval;;1;;
;;;445;Sonvilier;;1;;
;;;446;Tramelan;;1;;
;;;448;Villeret;;1;;
;;;449;Sauge;;1;;
;;;450;Péry-La Heutte;;1;;
;;;491;Brüttelen;;1;;
;;;492;Erlach;;1;;
;;;493;Finsterhennen;;1;;
;;;494;Gals;;1;;
;;;495;Gampelen;;1;;
;;;496;Ins;;1;;
;;;497;Lüscherz;;1;;
;;;498;Müntschemier;;1;;
;;;499;Siselen;;1;;
;;;500;Treiten;;1;;
;;;501;Tschugg;;1;;
;;;502;Vinelz;;1;;
;;;533;Bätterkinden;;1;;
;;;535;Deisswil bei Münchenbuchsee;;1;;
;;;536;Diemerswil;;0;;
;;;538;Fraubrunnen;;1;;
;;;540;Jegenstorf;;1;;
;;;541;Iffwil;;0;;
;;;543;Mattstetten;;0;;
;;;544;Moosseedorf;;1;;
;;;546;Münchenbuchsee;;1;;
;;;551;Urtenen-Schönbühl;;1;;
;;;552;Utzenstorf;;1;;
;;;553;Wiggiswil;;0;;
;;;554;Wiler bei Utzenstorf;;1;;
;;;556;Zielebach;;1;;
;;;557;Zuzwil (BE);;0;;
;;;561;Adelboden;;0;;
;;;562;Aeschi bei Spiez;;1;;
;;;563;Frutigen;;1;;
;;;564;Kandergrund;;0;;
;;;565;Kandersteg;;1;;
;;;566;Krattigen;;1;;
;;;567;Reichenbach im Kandertal;;0;;
;;;571;Beatenberg;;0;;
;;;572;Bönigen;;1;;
;;;573;Brienz (BE);;1;;
;;;574;Brienzwiler;;0;;
;;;575;Därligen;;0;;
;;;576;Grindelwald;;1;;
;;;577;Gsteigwiler;;0;;
;;;578;Gündlischwand;;0;;
;;;579;Habkern;;0;;
;;;580;Hofstetten bei Brienz;;0;;
;;;581;Interlaken;;1;;
;;;582;Iseltwald;;1;;
;;;584;Lauterbrunnen;;1;;
;;;585;Leissigen;;0;;
;;;586;Lütschental;;0;;
;;;587;Matten bei Interlaken;;1;;
;;;588;Niederried bei Interlaken;;1;;
;;;589;Oberried am Brienzersee;;1;;
;;;590;Ringgenberg (BE);;1;;
;;;591;Saxeten;;0;;
;;;592;Schwanden bei Brienz;;0;;
;;;593;Unterseen;;1;;
;;;594;Wilderswil;;1;;
;;;602;Arni (BE);;0;;
;;;603;Biglen;;1;;
;;;605;Bowil;;0;;
;;;606;Brenzikofen;;0;;
;;;607;Freimettigen;;0;;
;;;608;Grosshöchstetten;;1;;
;;;609;Häutligen;;0;;
;;;610;Herbligen;;0;;
;;;611;Kiesen;;0;;
;;;612;Konolfingen;;1;;
;;;613;Landiswil;;0;;
;;;614;Linden;;1;;
;;;615;Mirchel;;0;;
;;;616;Münsingen;;1;;
;;;617;Niederhünigen;;1;;
;;;619;Oberdiessbach;;1;;
;;;620;Oberthal;;1;;
;;;622;Oppligen;;0;;
;;;623;Rubigen;;1;;
;;;626;Walkringen;;1;;
;;;627;Worb;;1;;
;;;628;Zäziwil;;1;;
;;;629;Oberhünigen;;0;;
;;;630;Allmendingen;;1;;
;;;632;Wichtrach;;1;;
;;;661;Clavaleyres;;0;;
;;;662;Ferenbalm;;1;;
